,抽样地点_2*,食品亚类,所在省份*
452388,菜市场,水产品,上海
457578,超市,蔬菜,云南
461669,超市,生干坚果与籽类食品,湖南
461968,批发市场,水产品,浙江
463048,超市,蔬菜,四川
463259,其他,水产品,河北
463339,其他,水产品,河北
463715,其他,水产品,河北
463746,其他,水产品,河北
464421,其他,水产品,河北
464487,其他,水产品,河北
464501,其他,水产品,河北
464805,其他,水产品,河北
464890,其他,水产品,河北
464930,其他,水产品,河北
465344,其他,水产品,河北
470930,农贸市场,水产品,河北
472902,批发市场,蔬菜,浙江
474415,农贸市场,水产品,上海
475777,其他,水产品,青海
476685,批发市场,蔬菜,浙江
477481,农贸市场,水产品,河北
478319,农贸市场,水产品,河北
478844,农贸市场,水产品,河北
479144,农贸市场,水产品,河北
479765,农贸市场,水产品,河北
480859,农贸市场,蔬菜,上海
480865,农贸市场,蔬菜,上海
484668,农贸市场,水产品,河北
485227,农贸市场,水产品,河北
487153,农贸市场,蔬菜,浙江
488597,农贸市场,畜禽肉及副产品,辽宁
494198,农贸市场,畜禽肉及副产品,青海
503414,小食杂店,水产品,上海
504372,小食杂店,水产品,上海
505286,农贸市场,水产品,上海
505321,小食杂店,水产品,上海
505780,小食杂店,水产品,上海
507018,超市,蔬菜,内蒙古
510623,农贸市场,蔬菜,江苏
511297,超市,蔬菜,云南
516338,超市,蔬菜,云南
517127,超市,水产品,安徽
517441,超市,水产品,安徽
521448,超市,蔬菜,江苏
521452,超市,蔬菜,江苏
523346,超市,水产品,安徽
525200,超市,水产品,安徽
525249,超市,畜禽肉及副产品,安徽
529821,超市,畜禽肉及副产品,重庆
531590,超市,蔬菜,云南
533112,农贸市场,水产品,云南
539970,批发市场,水果类,云南
540062,超市,蔬菜,山东
540503,农贸市场,水果类,云南
546033,批发市场,水果类,云南
546217,农贸市场,畜禽肉及副产品,云南
546343,农贸市场,畜禽肉及副产品,云南
546364,农贸市场,畜禽肉及副产品,云南
546407,农贸市场,畜禽肉及副产品,云南
550408,超市,生干坚果与籽类食品,北京
556711,农贸市场,畜禽肉及副产品,云南
561023,超市,水产品,湖北
561540,农贸市场,畜禽肉及副产品,山东
562769,超市,鲜蛋,湖北
563787,超市,蔬菜,江苏
565448,超市,水产品,福建
566825,超市,鲜蛋,湖北
566868,农贸市场,蔬菜,湖北
568903,超市,蔬菜,湖北
569673,超市,蔬菜,广西
570680,超市,蔬菜,广西
581815,超市,畜禽肉及副产品,河南
583474,超市,畜禽肉及副产品,陕西
595778,农贸市场,畜禽肉及副产品,云南
596255,超市,蔬菜,广西
600123,超市,畜禽肉及副产品,陕西
601621,其他,蔬菜,黑龙江
603167,超市,蔬菜,云南
603744,超市,水产品,北京
605683,超市,水产品,北京
605975,超市,水产品,广西
607247,超市,蔬菜,广西
607288,超市,蔬菜,广西
609804,农贸市场,蔬菜,广西
610355,农贸市场,蔬菜,广西
613505,超市,水产品,北京
615152,超市,水产品,北京
615235,超市,蔬菜,四川
615634,超市,蔬菜,四川
616163,超市,蔬菜,山东
616956,农贸市场,水产品,上海
621037,菜市场,蔬菜,广东
622803,超市,水产品,北京
623120,农贸市场,水产品,山东
623490,超市,畜禽肉及副产品,云南
623859,超市,水产品,北京
624022,超市,蔬菜,四川
630971,超市,畜禽肉及副产品,山东
631053,农贸市场,水产品,广东
632662,农贸市场,水产品,广东
633081,农贸市场,水产品,广东
633639,小食杂店,蔬菜,河北
